"ID","ARTICULO","ID_PLANIFICACION","UBICACION","ALMACEN","LOTE","FECHA_EXPIRACION","CANTIDAD","COSTO"
837,"1003000218",25,"5002","2000","5002237189",,100,165.92
838,"1003000218",25,"5002","2000","5002237194",,500,165.92
839,"1003000125",25,"5002","20B0","5002224683",,80,100.21
840,"1003000125",25,"5002","20B0","5002227396",,43,100.21
841,"1003000125",25,"5002","20B0","5002227453",,3,100.21
842,"1003000125",25,"5002","20B0","5002227735",,15,100.21
843,"1003000218",25,"5002","20B0","5002225221",,45,165.92
844,"1003000218",25,"5002","20B0","5002236203",,200,165.92
845,"1003000218",25,"5002","20B0","5002236204",,500,165.92
846,"1003000218",25,"5002","20G0","5002207632",,100,165.92
847,"1003000218",25,"5002","20G0","5002217090",,3,165.92
848,"1003000218",25,"5002","20G0","5002224206",,150,165.92
849,"1003000125",25,"5003","20A0","5003074901",,224,94.51
850,"1003000218",25,"5003","20D0","5003076458",,79,159.29
851,"1003000125",25,"5004","20C0",,,0,98.72
852,"1003000125",25,"5004","20C0","5003077745",,398,98.72
853,"1003000218",25,"5004","20C0","5003077262",,367,159.84
854,"1003000218",25,"5004","20C0","5003077804",,500,159.84
855,"1003000218",25,"5004","20C0","5004005927",,9,159.84
856,"1003000218",25,"5005","2000","5002237104",,345,174.21
857,"1003000125",25,"5006","2000","5002232162",,176,91.76
858,"1003000218",25,"5006","2000","5002236267",,498,168.42
859,"1003000218",25,"5006","2000","5002236721",,100,168.42
860,"1003000125",25,"5007","2000","5002231503",,217,94.49
861,"1003000125",25,"5007","2000","5002233471",,500,94.49
899,"1103000497",25,"5001","2003","42226910",2025-01-15 00:00:00.000,1,1291.19
862,"1003000125",25,"5007","2000","5002233496",,500,94.49
863,"1003000218",25,"5007","2000","5002235976",,171,169.08
864,"1003000218",25,"5007","2000","5002236270",,500,169.08
865,"1003000125",25,"5008","2000","5003077065",,10,105.39
866,"1003000218",25,"5008","2000","5002236994",,390,169.15
867,"1003000218",25,"5008","2000","5002237114",,550,169.15
868,"1003000218",25,"5008","2000","5003076384",,39,169.15
869,"1003000218",25,"5008","2000","5003077163",,250,169.15
870,"1003000218",25,"5008","2003","5003076266",,26,169.15
871,"1003000218",25,"5009","2000","5002183665",2025-08-01 00:00:00.000,1,295.98
872,"1003000125",25,"5009","2003","5309001741",2022-08-01 00:00:00.000,13,78.86
873,"1003000125",25,"5009","2003","5309001742",2022-08-01 00:00:00.000,6,78.86
874,"1003000125",25,"5009","2003","5309001743",2022-08-01 00:00:00.000,38,78.86
875,"1003000125",25,"5013","2000","5002231038",,195,106.21
876,"1003000218",25,"5013","2000",,,0,171.52
877,"1003000218",25,"5013","2000","5003074832",,129,171.52
878,"1003000218",25,"5013","2000","5003076905",,100,171.52
879,"1003000218",25,"5013","2000","5003077641",,250,171.52
880,"2301000014",25,"5001","1000",,,2824,0.72
881,"2301000031",25,"5001","1000",,,1965,1.02
882,"2301000056",25,"5001","1000",,,3,0.66
883,"2301000073",25,"5001","1000",,,570,0.34
884,"2301000078",25,"5001","1000",,,2252,1.14
885,"1003000079",25,"5001","2000","5004005161",,48,200.06
886,"1003000126",25,"5001","2000","5002236300",,42,257.1
887,"1003000126",25,"5001","2000","5002236638",,210,257.1
888,"1003000218",25,"5001","2000","5002236547",,221,165.64
889,"1103000013",25,"5001","2000","013811A25",2029-01-11 00:00:00.000,3,4831.13
890,"1103000026",25,"5001","2000","070225B25",2029-02-25 00:00:00.000,2,3843.36
891,"1103000092",25,"5001","2000","107627C25",2027-03-27 00:00:00.000,7,764.9
892,"1103000093",25,"5001","2000","379714J24",2026-10-14 00:00:00.000,3,7118.05
893,"1103000094",25,"5001","2000","307509H24",2026-08-09 00:00:00.000,39,14.41
894,"1103000125",25,"5001","2000","20240531",2026-05-31 00:00:00.000,20,2.41
895,"1103000130",25,"5001","2000","280008G24",2028-05-15 00:00:00.000,21,426.47
896,"1103000131",25,"5001","2000","377312J24",2028-10-12 00:00:00.000,3,4170.53
897,"1103000473",25,"5001","2000","27790872",2026-01-14 00:00:00.000,3,634.82
898,"1103000526",25,"5001","2000","60100000",2028-04-22 00:00:00.000,5,400.83
